MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,ExterQual,Foundation,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,PoolArea,SaleCondition,SalePrice
60,RL,8450,Pave,Reg,Lvl,AllPub,CollgCr,2Story,7,5,2003,2003,Gable,CompShg,Gd,PConc,856,GasA,Ex,Y,SBrkr,856,854,3,1,0,Normal,208500
20,RL,9600,Pave,Reg,Lvl,AllPub,Veenker,1Story,6,8,1976,1976,Gable,CompShg,TA,CBlock,1262,GasA,Ex,Y,SBrkr,1262,0,3,1,0,Normal,181500
60,RL,11250,Pave,IR1,Lvl,AllPub,CollgCr,2Story,7,5,2001,2002,Gable,CompShg,Gd,PConc,920,GasA,Ex,Y,SBrkr,920,866,3,1,0,Normal,223500
70,RL,9550,Pave,IR1,Lvl,AllPub,Crawfor,2Story,7,5,1915,1970,Gable,CompShg,TA,BrkTil,756,GasA,Gd,Y,SBrkr,961,756,3,1,0,Abnorml,140000
60,RL,14260,Pave,IR1,Lvl,AllPub,NoRidge,2Story,8,5,2000,2000,Gable,CompShg,Gd,PConc,1145,GasA,Ex,Y,SBrkr,1145,1053,4,1,0,Normal,250000
50,RL,14115,Pave,IR1,Lvl,AllPub,Mitchel,1.5Fin,5,5,1993,1995,Gable,CompShg,TA,Wood,796,GasA,Ex,Y,SBrkr,796,566,1,1,0,Normal,143000
20,RL,10084,Pave,Reg,Lvl,AllPub,Somerst,1Story,8,5,2004,2005,Gable,CompShg,Gd,PConc,1686,GasA,Ex,Y,SBrkr,1694,0,3,1,0,Normal,307000
60,RL,10382,Pave,IR1,Lvl,AllPub,NWAmes,2Story,7,6,1973,1973,Gable,CompShg,TA,CBlock,1107,GasA,Ex,Y,SBrkr,1107,983,3,1,0,Normal,200000
50,RM,6120,Pave,Reg,Lvl,AllPub,OldTown,1.5Fin,7,5,1931,1950,Gable,CompShg,TA,BrkTil,952,GasA,Gd,Y,FuseF,1022,752,2,2,0,Abnorml,129900
190,RL,7420,Pave,Reg,Lvl,AllPub,BrkSide,1.5Unf,5,6,1939,1950,Gable,CompShg,TA,BrkTil,991,GasA,Ex,Y,SBrkr,1077,0,2,2,0,Normal,118000
