,Species,Weight,Length1,Length2,Length3,Height,Width,Female
0,Bream,242.0,23.2,25.4,30.0,11.52,4.02,0
1,Bream,290.0,24.0,26.3,31.2,12.48,4.3056,1
2,Bream,340.0,23.9,26.5,31.1,12.3778,4.6961,0
3,Bream,363.0,26.3,29.0,33.5,12.73,4.4555,0
4,Bream,430.0,26.5,29.0,34.0,12.444,5.1339999999999995,1
5,Bream,450.0,26.8,29.7,34.7,13.6024,4.9274,0
6,Bream,500.0,26.8,29.7,34.5,14.1795,5.2785,1
7,Bream,390.0,27.6,30.0,35.0,12.67,4.69,1
8,Bream,450.0,27.6,30.0,35.1,14.0049,4.8438,0
9,Bream,500.0,28.5,30.7,36.2,14.2266,4.9594,1
10,Bream,475.0,28.4,31.0,36.2,14.2628,5.1042,1
11,Bream,500.0,28.7,31.0,36.2,14.3714,4.8146,0
12,Bream,500.0,29.1,31.5,36.4,13.7592,4.368,0
13,Bream,340.0,29.5,32.0,37.3,13.9129,5.0728,0
14,Bream,600.0,29.4,32.0,37.2,14.9544,5.1708,1
15,Bream,600.0,29.4,32.0,37.2,15.437999999999999,5.58,1
16,Bream,700.0,30.4,33.0,38.3,14.8604,5.2854,1
17,Bream,700.0,30.4,33.0,38.5,14.937999999999999,5.1975,1
18,Bream,610.0,30.9,33.5,38.6,15.633,5.1338,1
19,Bream,650.0,31.0,33.5,38.7,14.4738,5.7276,1
20,Bream,575.0,31.3,34.0,39.5,15.1285,5.5695,1
21,Bream,685.0,31.4,34.0,39.2,15.9936,5.3704,0
22,Bream,620.0,31.5,34.5,39.7,15.5227,5.2801,0
23,Bream,680.0,31.8,35.0,40.6,15.4686,6.1306,0
24,Bream,700.0,31.9,35.0,40.5,16.2405,5.5889999999999995,0
25,Bream,725.0,31.8,35.0,40.9,16.36,6.0532,1
26,Bream,720.0,32.0,35.0,40.6,16.3618,6.09,0
27,Bream,714.0,32.7,36.0,41.5,16.517,5.8515,0
28,Bream,850.0,32.8,36.0,41.6,16.8896,6.1984,0
29,Bream,1000.0,33.5,37.0,42.6,18.957,6.603,0
30,Bream,920.0,35.0,38.5,44.1,18.0369,6.3063,1
31,Bream,955.0,35.0,38.5,44.0,18.084,6.292000000000001,0
32,Bream,925.0,36.2,39.5,45.3,18.7542,6.7497,0
33,Bream,975.0,37.4,41.0,45.9,18.6354,6.7473,1
34,Bream,950.0,38.0,41.0,46.5,17.6235,6.3705,0
35,Roach,40.0,12.9,14.1,16.2,4.1472,2.2680000000000002,1
36,Roach,69.0,16.5,18.2,20.3,5.2983,2.8217,1
37,Roach,78.0,17.5,18.8,21.2,5.5756,2.9044,1
38,Roach,87.0,18.2,19.8,22.2,5.6166,3.1746,0
39,Roach,120.0,18.6,20.0,22.2,6.216,3.5742,0
40,Roach,0.0,19.0,20.5,22.8,6.4752,3.3516,0
41,Roach,110.0,19.1,20.8,23.1,6.1677,3.3957,1
42,Roach,120.0,19.4,21.0,23.7,6.1146,3.2943,1
43,Roach,150.0,20.4,22.0,24.7,5.8045,3.7544,0
44,Roach,145.0,20.5,22.0,24.3,6.6339,3.5478,1
45,Roach,160.0,20.5,22.5,25.3,7.0334,3.8203,0
46,Roach,140.0,21.0,22.5,25.0,6.55,3.325,1
47,Roach,160.0,21.1,22.5,25.0,6.4,3.8,1
48,Roach,169.0,22.0,24.0,27.2,7.5344,3.8352,0
49,Roach,161.0,22.0,23.4,26.7,6.9153,3.6312,1
50,Roach,200.0,22.1,23.5,26.8,7.3968,4.1272,0
51,Roach,180.0,23.6,25.2,27.9,7.0866,3.906,0
